Qty,Item,Price Level,Price Type,Resale Value,Resale Per Ticket,Resale Difference,Resale Date,Seatblock1
2,F02,1,R,$96.00,$48.00,-$8.28,9/14/2019,"L:128:U:1,2"
2,F07,2,R,$338.00,$169.00,$178.00,11/18/2019,"L:111:G:21,22"
1,F05,2,R,$51.00,$51.00,$3.86,11/9/2019,"L:125:E:17,17"
2,F02,5,DPP,$30.00,$15.00,$30.00,9/11/2019,"U:522:Y:9,10"
6,F05,1,R,$360.00,$60.00,$47.16,11/5/2019,"L:107:AA:7,12"
3,F04,1,DPP,$167.88,$55.96,$167.88,9/3/2019,"L:122:AA:6,8"
1,F02,5,DPP,$20.98,$20.98,$20.98,9/14/2019,"U:525:Y:1,1"
2,F02,1,DPP,$59.88,$29.94,$59.88,9/9/2019,"U:506:P:25,26"
3,F04,1,DPP,$71.97,$23.99,$71.97,10/19/2019,"U:508:N:24,26"
1,F01,5,R,$7.00,$7.00,-$10.00,9/5/2019,"U:515:G:4,4"
2,F01,5,R,$12.00,$6.00,-$24.86,9/5/2019,"U:525:S:8,9"
2,F07,4,R,$225.00,$112.50,$162.16,8/7/2019,"L:130:Q:13,14"
1,F07,4,R,$90.00,$90.00,$30.00,11/27/2019,"U:539:G:1,1"
1,F07,5,R,$130.00,$130.00,$70.00,11/29/2019,"U:513:L:13,13"
2,F02,5,DPP,$30.00,$15.00,$30.00,9/14/2019,"U:539:V:4,5"
4,F03,1,R,$132.00,$33.00,-$76.56,8/3/2019,"L:125:N:15,18"
1,F03,5,R,$8.00,$8.00,-$10.43,9/21/2019,"U:537:X:11,11"
1,F02,5,DPP,$19.00,$19.00,$19.00,9/12/2019,"U:518:W:7,7"
2,F02,1,R,$155.90,$77.95,$51.62,8/1/2019,"L:107:M:3,4"
2,F07,1,R,$358.00,$179.00,$198.00,8/12/2019,"L:122:AA:6,7"
1,F02,5,DPP,$19.99,$19.99,$19.99,9/14/2019,"U:512:U:9,9"
1,F02,5,DPP,$24.99,$24.99,$24.99,9/14/2019,"U:526:Y:7,7"
3,F02,5,DPP,$50.97,$16.99,$50.97,9/13/2019,"U:539:Y:4,6"
4,F04,2,R,$339.96,$84.99,$151.40,10/7/2019,"L:107:B:5,8"
2,F04,2,R,$198.00,$99.00,$103.72,9/7/2019,"L:126:A:1,2"
1,F05,5,R,$11.00,$11.00,-$7.43,11/9/2019,"U:512:O:18,18"
1,F02,5,V,$18.00,$18.00,-$27.00,9/14/2019,"U:519:U:5,5"
3,F02,1,DPP,$211.77,$70.59,$211.77,9/14/2019,"L:124:F:8,10"
1,F02,5,DPP,$24.81,$24.81,$24.81,9/14/2019,"U:512:V:24,24"
2,F05,1,SC,$24.00,$12.00,$24.00,11/9/2019,"L:110:X:13,14"
4,F05,1,R,$320.00,$80.00,$111.44,11/3/2019,"L:125:L:20,23"
2,F07,5,R,$200.00,$100.00,$80.00,11/13/2019,"U:518:J:14,15"
1,F07,5,SV,$103.10,$103.10,$33.10,11/21/2019,"U:519:R:29,29"
2,F05,4,DPP,$27.98,$13.99,$27.98,11/4/2019,"U:512:J:19,20"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:13,13"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:14,14"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:15,15"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:16,16"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:17,17"
1,F03,2,R,$44.99,$44.99,-$2.15,8/12/2019,"L:125:C:18,18"
4,F05,1,DPP,$323.52,$80.88,$323.52,9/14/2019,"L:125:F:11,14"
3,F07,5,R,$384.00,$128.00,$204.00,11/27/2019,"U:524:Y:7,9"
2,F07,4,R,$280.00,$140.00,$160.00,11/16/2019,"U:530:X:9,10"
3,F01,1,SRE,$43.50,$14.50,-$112.92,9/4/2019,"L:128:G:1,3"
2,F01,5,R,$24.60,$12.30,-$9.40,8/19/2019,"U:527:L:1,2"
2,F02,5,R,$64.16,$32.08,$30.16,9/10/2019,"U:527:L:1,2"
7,F05,2,G3,$315.00,$45.00,$140.00,8/25/2019,"L:121:J:1,7"
7,F04,5,R,$70.00,$10.00,-$59.01,10/4/2019,"U:514:R:3,9"
2,F07,1,R,$318.00,$159.00,$158.00,11/22/2019,"L:110:T:10,11"
4,F06,2,R,$202.40,$50.60,$8.12,11/11/2019,"L:126:B:6,9"
1,F02,2,R,$170.75,$170.75,$123.61,9/12/2019,"L:125:B:18,18"
1,F04,5,DPP,$15.23,$15.23,$15.23,10/18/2019,"U:516:O:3,3"
2,F07,5,R,$201.98,$100.99,$81.98,11/17/2019,"U:539:V:12,13"
4,F05,5,R,$40.00,$10.00,-$33.72,11/3/2019,"U:522:G:14,17"
1,F07,1,R,$150.00,$150.00,$96.42,11/25/2019,"L:128:YY:1,1"
2,F02,2,G2,$111.12,$55.56,$51.12,7/11/2019,"L:129:X:18,19"
2,F04,5,R,$26.00,$13.00,-$10.86,10/13/2019,"U:515:R:14,15"
2,F07,3,SS,$278.00,$139.00,$138.00,11/27/2019,"L:116:R:18,19"
2,F06,4,SR,$12.00,$6.00,-$50.86,11/22/2019,"U:504:G:6,7"
3,F02,2,P,$51.00,$17.00,-$2.28,9/14/2019,"U:508:X:16,18"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:515:J:3,3"
3,F07,5,R,$300.00,$100.00,$120.00,11/22/2019,"U:523:V:14,16"
2,F01,2,R,$78.48,$39.24,-$18.66,8/22/2019,"L:124:A:4,5"
2,F02,1,R,$90.00,$45.00,-$17.14,9/11/2019,"U:532:C:27,28"
2,F04,5,R,$36.00,$18.00,-$0.86,10/16/2019,"U:526:S:19,20"
2,F05,5,R,$46.46,$23.23,$9.60,11/5/2019,"U:537:T:1,2"
2,F03,1,SC,$33.98,$16.99,$33.98,9/20/2019,"U:532:L:4,5"
3,F04,4,DPP,$86.97,$28.99,$86.97,10/19/2019,"U:530:R:6,8"
1,F07,5,R,$124.00,$124.00,$64.00,11/29/2019,"U:523:V:4,4"
2,F01,1,DPP,$47.96,$23.98,$47.96,9/6/2019,"L:109:PP:3,4"
2,F02,1,R,$160.00,$80.00,$52.86,9/11/2019,"L:106:Q:15,16"
2,F02,3,P,$99.80,$49.90,$64.28,9/3/2019,"L:115:O:11,12"
1,F04,5,R,$24.00,$24.00,$7.00,10/12/2019,"U:529:M:7,7"
1,F01,5,R,$6.00,$6.00,-$11.00,9/2/2019,"U:513:O:13,13"
2,F02,1,R,$150.00,$75.00,$45.72,9/11/2019,"L:107:QQ:2,3"
2,F05,1,R,$114.00,$57.00,$6.86,11/3/2019,"L:107:CC:7,8"
